set,name,distance,bks,gap_pct,n_vehicles,elapsed,feasible,score,error
train,synthetic_n50_s0,1411.8199,,,8,0.0001728534698486328,True,1411.8199,
train,synthetic_n50_s1,2149.3834,,,10,0.00015115737915039062,True,2149.3834,
train,synthetic_n50_s2,1776.5259,,,8,0.00015497207641601562,True,1776.5259,
train,synthetic_n50_s3,1898.6907,,,11,0.00015997886657714844,True,1898.6907,
train,synthetic_n50_s4,1644.0876,,,9,0.0001583099365234375,True,1644.0876,
train,synthetic_n50_s5,1666.2434,,,10,0.0001575946807861328,True,1666.2434,
train,synthetic_n50_s6,1819.9845,,,10,0.00014519691467285156,True,1819.9845,
train,synthetic_n50_s7,1655.7962,,,10,0.00015616416931152344,True,1655.7962,
train,synthetic_n50_s8,1742.5656,,,9,0.00015544891357421875,True,1742.5656,
train,synthetic_n50_s9,1463.4397,,,9,0.0001647472381591797,True,1463.4397,
